var,coef,proj,modelname
StringencyIndex_WeightedAverage_lag1,0.20169681,10,gru
scaled_case_lag1,2.2874744,10,gru
temperature_lag1,0.0612305,11,gru
carbon_monoxide_lag1,0.037103705,11,gru
StringencyIndex_WeightedAverage_lag1,0.17677377,11,gru
scaled_case_lag1,2.2246053,11,gru
temperature_lag4,0.076396324,12,gru
carbon_monoxide_lag1,0.03282887,12,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.15944242,12,gru
scaled_case_lag1,2.1554077,12,gru
temperature_lag3,0.0941969,13,gru
carbon_monoxide_lag1,0.037110507,13,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.14783798,13,gru
scaled_case_lag1,2.0858016,13,gru
temperature_lag7,0.056428496,14,gru
carbon_monoxide_lag7,0.02327847,14,gru
GovernmentResponseIndex_WeightedAverage_lag1,0.113131136,14,gru
scaled_case_lag1,2.0788326,14,gru
temperature_lag7,0.14910768,0,gru
carbon_monoxide_lag1,0.082443915,0,gru
StringencyIndex_WeightedAverage_lag1,0.13635132,0,gru
scaled_case_lag1,1.4184339,0,gru
ct_sm_7_lag7,0.5548406,0,gru
temperature_lag7,0.15645988,1,gru
